Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,read_dates,genres
5306,Travels with Charley: In Search of America,John Steinbeck,"Steinbeck, John",,"=""0142000701""","=""9780142000700""",4,4.05,Penguin,Paperback,214,2002,1962,2020/12/14,2020/12/14,,,read,,,,2,,,0,,,,,,",2020-12-14","Nonfiction|1443;Travel|1382;Classics|1043;Autobiography,Memoir|586;Biography|244;Literature|161;Biography Memoir|128;Literature,American|118;Adventure|108;History|104"
10900996,Janeway's Immunobiology,Kenneth M. Murphy,"Murphy, Kenneth M.","Paul Travers, Mark Walport","=""0815342438""","=""9780815342434""",0,4.27,Garland Science,Paperback,868,2011,2007,,2020/11/21,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,,,Textbooks|10;Nonfiction|5;Science|4;Reference|3;Academic|2
34507927,"How to Take Smart Notes: One Simple Technique to Boost Writing, Learning and Thinking – for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,"Ahrens, Sönke",,"=""""","=""""",0,4.28,,Kindle Edition,178,2017,2017,,2020/11/06,to-read,to-read (#35),to-read,,,,0,,,0,,,,,,,"Nonfiction|241;Productivity|186;Language,Writing|144;Self Help|120;Self Help,Personal Development|43;Education|37;Business|30;Psychology|23;Reference|15;Reference,Research|14"
1633,Getting Things Done: The Art of Stress-Free Productivity,David    Allen,"Allen, David",,"=""0142000280""","=""9780142000281""",4,3.99,Penguin Group,Paperback,267,2002,2001,2020/10/28,2020/10/29,,,read,,,,1,,,0,,,,,,",2020-10-28","Nonfiction|1984;Business|1822;Productivity|1578;Self Help|1536;Self Help,Personal Development|566;Business,Management|270;Leadership|228;Psychology|226;Reference|157;Audiobook|120"
4099,The Pragmatic Programmer: From Journeyman to Master,Andy Hunt,"Hunt, Andy",Dave Thomas,"=""020161622X""","=""9780201616224""",5,4.32,Addison-Wesley Professional,Paperback,321,1999,1999,,2020/10/10,,,read,,,,1,,,0,,,,,,",2020-01-01","Computer Science,Programming|1543;Science,Computer Science|543;Science,Technology|407;Nonfiction|362;Computer Science,Software|289;Computer Science,Technical|266;Computer Science,Coding|166;Computer Science,Computers|104;Science,Engineering|64;Reference|42"
10321016,"Pitch Anything: An Innovative Method for Presenting, Persuading, and Winning the Deal",Oren Klaff,"Klaff, Oren",,"=""0071752854""","=""9780071752855""",3,4.08,McGraw-Hill Education,Hardcover,225,2011,2011,2020/09/23,2020/09/24,,,read,"The stories are high stakes and resemble the Ocean's movie franchise. However, the advice doesn't seem actionable. Never Split the Difference by Chris Voss had more useful ideas.",,,2,,,0,,,,,,",2020-09-23","Business|512;Nonfiction|116;Psychology|69;Language,Communication|43;Self Help|41;Business,Entrepreneurship|39;Buisness|23;Self Help,Personal Development|22;Business,Management|16;Audiobook|16"
10075698,Built to Sell: Creating a Business That Can Thrive Without You,John Warrillow,"Warrillow, John",,"=""1591843979""","=""9781591843979""",4,4.25,Portfolio,Hardcover,176,2011,2010,,2020/09/20,,,read,,,,1,,,0,,,,,,",2020-01-01","Business|471;Business,Entrepreneurship|63;Nonfiction|45;Buisness|21;Business,Management|13;Self Help|11;Leadership|5;Economics,Finance|5;Audiobook|5;Self Help,Personal Development|4"
998,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley,"Stanley, Thomas J.",William D. Danko,"=""0671015206""","=""9780671015206""",4,4.03,Gallery Books,Paperback,258,1998,1995,,2020/09/18,,,read,,,,1,,,0,,,,,,",2020-09-18","Economics,Finance|1435;Nonfiction|1002;Business|921;Finance,Personal Finance|569;Self Help|384;Currency,Money|348;Economics|205;Self Help,Personal Development|146;Audiobook|67;Psychology|56"
12590721,"Ready, Set, Novel!: A Workbook",Lindsey Grant,"Grant, Lindsey","Tavia Stewart-Streit, Chris Baty","=""1452101728""","=""9781452101729""",0,4.16,Chronicle Books,Hardcover,160,2011,2011,,2020/09/13,to-read,to-read (#34),to-read,,,,0,,,0,,,,,,,"Language,Writing|86;Nonfiction|47;Reference|15;Art,Crafts|3;How To|3;Reference,Research|2;Art|2;Education|2"
26835393,Not So Obvious: An Introduction to Patent Law and Strategy,Jeffrey Schox,"Schox, Jeffrey",,"=""""","=""""",0,4.03,CreateSpace Independent Publishing Platform,Kindle Edition,192,2015,2011,,2020/09/05,to-read,to-read (#33),to-read,,,,0,,,0,,,,,,,Nonfiction|2
